Nom,Email,Priorité,Zone,Catégorie,Date envoi,Statut,Objet
Yuka Residence,yukaresidencesamui@gmail.com,HOT,Lamai,1. Hôtels & Resorts,2026-07-08,Brouillon créé ✅ — à envoyer,Yuka Residence: A 24/7 multilingual concierge widget for Koh Samui guests
Kanda Residences,info@kandapoolvillas.com,HOT,Plai Laem,1. Hôtels & Resorts,2026-07-08,Brouillon créé ✅ — à envoyer,Kanda Residences: A 24/7 multilingual concierge widget for Koh Samui guests
Wech Pinyo Muay Thai,info@wechpinyo-muaythai.com,HOT,Lamai,6. Muay Thai & Fitness,2026-07-08,Brouillon créé ✅ — à envoyer,Wech Pinyo Muay Thai: An AI gym manager for Koh Samui guests
Elite Gym Samui,elitegymsamui@hotmail.com,HOT,Chaweng,6. Muay Thai & Fitness,2026-07-08,Brouillon créé ✅ — à envoyer,Elite Gym Samui: An AI gym manager for Koh Samui guests
Nora Beach Resort & Spa,reservation@norabeachresort.com,HOT,Chaweng,1. Hôtels & Resorts,2026-07-08,Brouillon créé ✅ — à envoyer,Nora Beach Resort & Spa: A 24/7 multilingual concierge widget for Koh Samui guests
WeCare Service & Management,contact.samui@wecareservice-management.com,HOT,Island-wide,2. Villas & Property Mgmt,2026-07-08,Brouillon créé ✅ — à envoyer,WeCare Service & Management: An AI villa manager for Koh Samui guests
Cielo Boutique Hotel & Spa,info@cielosamui.com,HOT,Bophut,1. Hôtels & Resorts,2026-07-08,Brouillon créé ✅ — à envoyer,Cielo Boutique Hotel & Spa: A 24/7 multilingual concierge widget for Koh Samui guests
Marasca Samui,hello.samui@marasca.live,HOT,Chaweng,1. Hôtels & Resorts,2026-07-08,Brouillon créé ✅ — à envoyer,Marasca Samui: A 24/7 multilingual concierge widget for Koh Samui guests
Samui Buri Beach Resort,rsvn@samuiburi.com,HOT,Maenam,1. Hôtels & Resorts,2026-07-08,Brouillon créé ✅ — à envoyer,Samui Buri Beach Resort: A 24/7 multilingual concierge widget for Koh Samui guests
Mr Property Siam,info@mrpropertysiam.com,HOT,Chaweng,2. Villas & Property Mgmt,2026-07-08,Brouillon créé ✅ — à envoyer,Mr Property Siam: An AI villa manager for Koh Samui guests
The Plate Lamai,reservations@thelamaisamui.com,HOT,Lamai,3. Restaurants,2026-07-08,Brouillon créé ✅ — à envoyer,The Plate Lamai: Automatic 24/7 table booking for Koh Samui guests
Stacked Samui,stackedhost.samui@ozohotels.com,HOT,Chaweng,3. Restaurants,2026-07-08,Brouillon créé ✅ — à envoyer,Stacked Samui: Automatic 24/7 table booking for Koh Samui guests
Lamai Muay Thai Camp,train@lamaimuaythai.com,HOT,Lamai,6. Muay Thai & Fitness,2026-07-09,Brouillon créé ✅ — à envoyer,Lamai Muay Thai Camp: An AI gym manager for Koh Samui guests
Punch it Gym,office@punchitgym.com,HOT,Lamai,6. Muay Thai & Fitness,2026-07-09,Brouillon créé ✅ — à envoyer,Punch it Gym: An AI gym manager for Koh Samui guests
Jun Muay Thai,junmuaythai@gmail.com,HOT,Lamai,6. Muay Thai & Fitness,2026-07-09,Brouillon créé ✅ — à envoyer,Jun Muay Thai: An AI gym manager for Koh Samui guests
Koh Samui Taxis,bookings@kohsamuitaxis.com,HOT,Island-wide,7. Transport,2026-07-09,Brouillon créé ✅ — à envoyer,Koh Samui Taxis: A transfer booking bot for Koh Samui guests
Samui Villa Catering,eat@gosamuicatering.com,HOT,Island-wide,8. Mariages & Événements,2026-07-09,Brouillon créé ✅ — à envoyer,Samui Villa Catering: A wedding & events CRM for Koh Samui guests
Estate Samui Properties,contact@estate-samui-properties.com,HOT,Chaweng,2. Villas & Property Mgmt,2026-07-09,Brouillon créé ✅ — à envoyer,Estate Samui Properties: An AI villa manager for Koh Samui guests
Koh Samui Tours,info@kohsamui.tours,HOT,Island-wide,4. Activités Touristiques,2026-07-09,Brouillon créé ✅ — à envoyer,Koh Samui Tours: A 24/7 activity booking desk for Koh Samui guests
The Library,info@thelibrary.co.th,HOT,Chaweng,1. Hôtels & Resorts,2026-07-09,Brouillon créé ✅ — à envoyer,The Library: A 24/7 multilingual concierge widget for Koh Samui guests
Lionheart Samui,lionheartsamui@gmail.com,HOT,Chaweng Noi,6. Muay Thai & Fitness,2026-07-09,Brouillon créé ✅ — à envoyer,Lionheart Samui: An AI gym manager for Koh Samui guests
DJ Simon Solo / Koh Samui Events,info@kohsamuievents.com,HOT,Island-wide,8. Mariages & Événements,2026-07-09,Brouillon créé ✅ — à envoyer,DJ Simon Solo / Koh Samui Events: A wedding & events CRM for Koh Samui guests
Morya Pharmacy 24h,moryaklung@gmail.com,HOT,Chaweng / Lamai,10. Commerces Locaux,2026-07-09,Brouillon créé ✅ — à envoyer,Morya Pharmacy 24h: A local visibility listing for Koh Samui guests
Superpro Samui,info@superprosamui.com,HOT,Chaweng,6. Muay Thai & Fitness,2026-07-09,Brouillon créé ✅ — à envoyer,Superpro Samui: An AI gym manager for Koh Samui guests
Four Seasons Resort Koh Samui,reservations.thailand@fourseasons.com,HOT,Choeng Mon,1. Hôtels & Resorts,2026-07-10,Brouillon créé ✅ — à envoyer,Four Seasons Resort Koh Samui: A 24/7 multilingual concierge widget for Koh Samui guests
SALA Samui Choengmon Beach,reservations@salachoengmon.com,WARM,Choeng Mon,1. Hôtels & Resorts,2026-07-10,Brouillon créé ✅ — à envoyer,SALA Samui Choengmon Beach: A 24/7 multilingual concierge widget for Koh Samui guests
Celes Beachfront Resort,reservations@celesresort.com,WARM,Lamai,1. Hôtels & Resorts,2026-07-10,Brouillon créé ✅ — à envoyer,Celes Beachfront Resort: A 24/7 multilingual concierge widget for Koh Samui guests
Horizon Homes Samui,info@horizonhomes-samui.com,WARM,Chaweng,2. Villas & Property Mgmt,2026-07-10,Brouillon créé ✅ — à envoyer,Horizon Homes Samui: An AI villa manager for Koh Samui guests
Sublime Samui Villas,book@sublimesamuivillas.com,WARM,Bophut,2. Villas & Property Mgmt,2026-07-10,Brouillon créé ✅ — à envoyer,Sublime Samui Villas: An AI villa manager for Koh Samui guests
Samui & Koh Real Estate,philippine@samui-and-koh.com,WARM,Chaweng,2. Villas & Property Mgmt,2026-07-10,Brouillon créé ✅ — à envoyer,Samui & Koh Real Estate: An AI villa manager for Koh Samui guests
Paradise Island Estate,rentals@paradiseislandestate.com,WARM,Island-wide,2. Villas & Property Mgmt,2026-07-10,Brouillon créé ✅ — à envoyer,Paradise Island Estate: An AI villa manager for Koh Samui guests
Samui Island Explorer,kobsamui1983@gmail.com,WARM,Island-wide,4. Activités Touristiques,2026-07-10,Brouillon créé ✅ — à envoyer,Samui Island Explorer: A 24/7 activity booking desk for Koh Samui guests
Koh Fit Thailand,bookings@kohfitthailand.com,WARM,Chaweng,6. Muay Thai & Fitness,2026-07-10,Brouillon créé ✅ — à envoyer,Koh Fit Thailand: An AI gym manager for Koh Samui guests
HAKUNARENT,hakunarent@gmail.com,WARM,Chaweng,7. Transport,2026-07-10,Brouillon créé ✅ — à envoyer,HAKUNARENT: A transfer booking bot for Koh Samui guests
Tamarind Springs Forest Spa,spa@tamarindsprings.com,WARM,Lamai,5. Wellness & Spa,2026-07-10,Brouillon créé ✅ — à envoyer,Tamarind Springs Forest Spa: A wellness concierge for Koh Samui guests
Anantara Bophut Resort,bophutsamui@anantara.com,WARM,Bophut,1. Hôtels & Resorts,2026-07-10,Brouillon créé ✅ — à envoyer,Anantara Bophut Resort: A 24/7 multilingual concierge widget for Koh Samui guests
LUXE Samui,luxesamuivillas@gmail.com,WARM,Island-wide,2. Villas & Property Mgmt,2026-07-13,Brouillon créé ✅ — à envoyer,LUXE Samui: An AI villa manager for Koh Samui guests
Member Diving Koh Samui,info@member-diving.com,WARM,Chaweng,4. Activités Touristiques,2026-07-13,Brouillon créé ✅ — à envoyer,Member Diving Koh Samui: A 24/7 activity booking desk for Koh Samui guests
Samui Elephant Sanctuary,info@samuielephantsanctuary.org,WARM,Interior Samui,4. Activités Touristiques,2026-07-13,Brouillon créé ✅ — à envoyer,Samui Elephant Sanctuary: A 24/7 activity booking desk for Koh Samui guests
Vikasa Yoga Retreat,stay@vikasa.com,WARM,Chaweng Noi,5. Wellness & Spa,2026-07-13,Brouillon créé ✅ — à envoyer,Vikasa Yoga Retreat: A wellness concierge for Koh Samui guests
Wonders & Weddings,info@wondersweddings.com,WARM,Island-wide,8. Mariages & Événements,2026-07-13,Brouillon créé ✅ — à envoyer,Wonders & Weddings: A wedding & events CRM for Koh Samui guests
The Deck Samui - Events,booking@thedeck-samui.com,WARM,Lamai,8. Mariages & Événements,2026-07-13,Brouillon créé ✅ — à envoyer,The Deck Samui - Events: A wedding & events CRM for Koh Samui guests
Zazen Restaurant,reservation@samuizazen.com,WARM,Bophut,3. Restaurants,2026-07-13,Brouillon créé ✅ — à envoyer,Zazen Restaurant: Automatic 24/7 table booking for Koh Samui guests
